cloud 	 sigma1 	 sigma1_lower_err 	 sigma1_upper_err 	 a1 	 a1_lower_err 	 a1_upper_err 	 sigma2 	 sigma2_lower_err 	 sigma2_upper_err 	 a2 	 a2_lower_err 	 a2_upper_err 	 sigma_n_sq_g2 	 sigma_n_sq_g2_lower_err 	 sigma_n_sq_g2_upper_err 	 sigma2_over_sigma1 	 evidence_g2 	 n0 	 n0_lower_err 	 n0_upper_err 	 rflat 	 rflat_lower_err 	 rflat_upper_err 	 p 	 p_lower_err 	 p_upper_err 	 sigma_n_sq_plummer 	 sigma_n_sq_plummer_lower_err 	 sigma_n_sq_plummer_upper_err 	 evidence_plummer 	 sigma 	 sigma_lower_err 	 sigma_upper_err 	 a 	 a_lower_err 	 a_upper_err 	 sigma_n_sq_g1 	 sigma_n_sq_g1_lower_err 	 sigma_n_sq_g1_upper_err 	 evidence_g1
Chamaeleon 	 2.9 	 0.1 	 0.1 	 31.3 	 0.6 	 0.5 	 10.2 	 0.3 	 0.4 	 8.7 	 0.5 	 0.5 	 0.2 	 0.0 	 0.0 	 3.5 	 -2.9	 47.8 	 1.2 	 1.5 	 3.1 	 0.2 	 0.1 	 1.8 	 0.1 	 0.1 	 0.1 	 0.0 	 0.0 	 -1.5	 4.8 	 0.3 	 0.3 	 30.8 	 2.0 	 2.1 	 6.1 	 1.3 	 1.9 	 -58.0
Ophiuchus 	 2.7 	 0.2 	 0.2 	 31.1 	 1.5 	 1.6 	 10.1 	 0.5 	 0.6 	 12.6 	 1.1 	 1.1 	 0.8 	 0.2 	 0.2 	 3.8 	 -27.2	 56.0 	 2.9 	 3.5 	 2.3 	 0.2 	 0.2 	 1.4 	 0.0 	 0.0 	 0.3 	 0.1 	 0.1 	 -11.9	 5.8 	 0.4 	 0.5 	 29.1 	 2.0 	 2.0 	 9.5 	 2.0 	 2.6 	 -64.7
   Lupus 	 2.6 	 0.2 	 0.3 	 30.6 	 1.8 	 1.8 	 8.1 	 0.5 	 0.6 	 15.5 	 2.0 	 1.9 	 0.9 	 0.2 	 0.3 	 3.1 	 -29.2	 48.6 	 1.9 	 2.3 	 3.6 	 0.3 	 0.3 	 1.9 	 0.1 	 0.1 	 0.5 	 0.1 	 0.1 	 -19.3	 5.2 	 0.3 	 0.3 	 32.7 	 1.7 	 1.8 	 6.2 	 1.3 	 1.7 	 -58.1
  Taurus 	 2.6 	 0.1 	 0.1 	 30.9 	 1.1 	 1.2 	 11.9 	 0.5 	 0.6 	 9.2 	 0.5 	 0.5 	 0.4 	 0.1 	 0.1 	 4.6 	 -17.4	 72.8 	 11.1 	 22.7 	 1.2 	 0.3 	 0.3 	 1.2 	 0.0 	 0.0 	 0.4 	 0.1 	 0.1 	 -17.3	 5.8 	 0.6 	 0.6 	 24.3 	 2.2 	 2.4 	 10.3 	 2.3 	 3.3 	 -65.7
 Perseus 	 4.1 	 0.1 	 0.1 	 34.3 	 0.9 	 0.9 	 11.9 	 0.6 	 0.8 	 10.9 	 1.0 	 1.0 	 0.3 	 0.1 	 0.1 	 2.9 	 -15.0	 47.8 	 0.9 	 0.9 	 6.1 	 0.3 	 0.3 	 2.4 	 0.1 	 0.1 	 0.5 	 0.1 	 0.1 	 -20.7	 6.0 	 0.2 	 0.2 	 39.0 	 1.5 	 1.6 	 6.9 	 1.4 	 2.1 	 -60.4
   Musca 	 3.1 	 0.1 	 0.1 	 31.8 	 1.5 	 1.5 	 17.9 	 3.0 	 4.1 	 4.9 	 0.6 	 0.7 	 1.3 	 0.3 	 0.4 	 5.8 	 -34.4	 48.3 	 5.5 	 8.4 	 2.5 	 0.5 	 0.6 	 1.6 	 0.2 	 0.2 	 2.4 	 0.5 	 0.7 	 -44.5	 4.4 	 0.4 	 0.4 	 29.8 	 2.9 	 3.0 	 8.9 	 2.0 	 2.7 	 -63.8
    Pipe 	 4.1 	 0.4 	 0.4 	 25.5 	 2.8 	 2.7 	 9.7 	 1.2 	 2.5 	 9.0 	 3.4 	 3.3 	 1.5 	 0.3 	 0.5 	 2.4 	 -36.7	 35.5 	 1.4 	 1.5 	 7.7 	 1.0 	 1.2 	 3.4 	 0.5 	 0.6 	 1.4 	 0.3 	 0.4 	 -35.5	 5.7 	 0.2 	 0.2 	 30.6 	 1.1 	 1.2 	 3.5 	 0.7 	 1.1 	 -49.3
 Cepheus 	 2.5 	 0.1 	 0.1 	 46.6 	 1.6 	 1.7 	 10.9 	 0.6 	 0.7 	 10.1 	 0.7 	 0.7 	 0.7 	 0.2 	 0.2 	 4.4 	 -26.4	 116.9 	 17.5 	 23.7 	 1.3 	 0.2 	 0.2 	 1.4 	 0.0 	 0.0 	 0.5 	 0.1 	 0.2 	 -21.6	 4.3 	 0.4 	 0.4 	 39.1 	 3.7 	 3.9 	 14.3 	 3.0 	 4.2 	 -71.4
  Oriona 	 2.9 	 0.1 	 0.1 	 52.4 	 1.8 	 1.8 	 8.4 	 0.8 	 1.0 	 8.8 	 1.7 	 1.9 	 1.3 	 0.3 	 0.4 	 2.9 	 -35.0	 68.3 	 3.0 	 3.4 	 4.4 	 0.4 	 0.5 	 3.1 	 0.3 	 0.3 	 1.5 	 0.3 	 0.5 	 -37.2	 3.7 	 0.1 	 0.1 	 53.1 	 2.4 	 2.5 	 5.8 	 1.3 	 1.8 	 -57.5
  Orionb 	 4.9 	 0.1 	 0.1 	 39.2 	 1.1 	 1.1 	 14.6 	 1.3 	 1.9 	 9.0 	 1.2 	 1.3 	 0.3 	 0.1 	 0.1 	 3.0 	 -13.6	 50.3 	 0.8 	 0.8 	 8.1 	 0.4 	 0.5 	 3.0 	 0.2 	 0.2 	 0.6 	 0.1 	 0.2 	 -23.6	 6.5 	 0.2 	 0.2 	 43.8 	 1.3 	 1.4 	 5.9 	 1.2 	 1.8 	 -58.0
