col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1465y1390z1400 nht 35.0 0 545 322558 54.0 2.1 6.6 6.5 50.0 2.7 1.9e-06 0.99 21.0 2.4 10.0 0.99 11000.0 17.0 98.0 1.5 2.4e-09 0.0085 4300.0 5.6 38.0 2300.0 4.4 22.0 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 1 34 3925 37.0 2.4 6.2 7.5 35.0 3.3 7.1e-09 1.2 1.6 2.2 33.0 1.2 110.0 25.0 35.0 1.2e-07 2.5e-10 1.2e-08 5.2 1.0 1.4 100.0 23.0 32.0 True False True False True "> 35" True
"" x1465y1390z1400 nht 35.0 2 20 2124 69.0 1.5 9.8 3.3 56.0 1.9 1.4e-08 0.82 1.9 1.6 52.0 0.82 330.0 27.0 73.0 1.4e-05 5.7e-10 1.1e-06 28.0 0.97 4.6 270.0 25.0 64.0 True False True False True "> 35" True
"" x1465y1390z1400 nht 35.0 3 87 18735 54.0 0.96 13.0 3.6 16.0 3.3 2.9e-09 1.7 4.6 3.2 7.2 1.7 67.0 11.0 17.0 4.5e-07 8.3e-10 2.6e-08 25.0 3.2 5.2 34.0 4.7 6.2 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 4 225 37483 69.0 1.1 18.0 3.9 27.0 3.2 1.3e-07 1.5 12.0 3.0 2.4 1.5 1100.0 9.3 32.0 0.11 1.1e-09 0.00088 540.0 3.5 14.0 37.0 1.5 3.2 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 6 22 880 42.0 1.9 2.3 100.0 38.0 2.3 5.7e-09 1.5 9.8 1.9 5.4 1.5 100.0 6.1 18.0 3.8e-07 4.9e-12 2e-08 30.0 1.2 3.6 50.0 4.6 11.0 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 7 137 11312 23.0 1.5 5.3 4.7 15.0 2.9 1.5e-08 0.89 3.7 2.7 9.3 0.89 68.0 4.1 9.1 6.6e-08 4.4e-12 2e-09 20.0 0.84 2.3 28.0 2.5 4.4 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 9 22 967 94.0 0.77 31.0 3.1 37.0 2.8 2.8e-09 2.3 14.0 2.7 7.5 2.3 91.0 9.1 17.0 4.4e-07 6.3e-10 2.3e-08 40.0 3.1 6.2 13.0 4.0 4.9 True True False False True "> 35" True
"" x1465y1390z1400 nht 35.0 10 21 1196 33.0 2.8 2.2 13.0 33.0 3.2 5.6e-10 0.74 0.36 0.94 33.0 0.74 46.0 27.0 28.0 7.8e-11 4.5e-12 2.3e-11 0.094 0.02 0.033 46.0 27.0 28.0 True False True False True "> 35" True
"" x1465y1390z1400 nht 35.0 11 27 1044 14.0 1.7 14.0 3.7 22.0 3.2 3.3e-09 1.5 4.8 2.9 13.0 1.5 72.0 15.0 19.0 6.1e-08 1.6e-10 3.4e-09 16.0 2.9 3.8 41.0 9.1 11.0 True False True False True "> 35" True
